scope,function,location,operation,dated
uds,drugx,file.info.forms.resolved.drug15,update,FALSE
uds,drugx,file.info.forms.resolved.drug16,update,FALSE
uds,drugx,file.info.forms.resolved.drug17,update,FALSE
uds,drugx,file.info.forms.resolved.drug18,update,FALSE
uds,drugx,file.info.forms.resolved.drug19,update,FALSE
uds,drugx,file.info.forms.resolved.drug20,update,FALSE
uds,drugx,file.info.forms.resolved.drug21,update,FALSE
uds,drugx,file.info.forms.resolved.drug22,update,FALSE
uds,drugx,file.info.forms.resolved.drug23,update,FALSE
uds,drugx,file.info.forms.resolved.drug24,update,FALSE
uds,drugx,file.info.forms.resolved.drug25,update,FALSE
uds,drugx,file.info.forms.resolved.drug26,update,FALSE
uds,drugx,file.info.forms.resolved.drug27,update,FALSE
uds,drugx,file.info.forms.resolved.drug28,update,FALSE
uds,drugx,file.info.forms.resolved.drug29,update,FALSE
uds,drugx,file.info.forms.resolved.drug30,update,FALSE
uds,drugx,file.info.forms.resolved.drug31,update,FALSE
uds,drugx,file.info.forms.resolved.drug32,update,FALSE
uds,drugx,file.info.forms.resolved.drug33,update,FALSE
uds,drugx,file.info.forms.resolved.drug34,update,FALSE
uds,drugx,file.info.forms.resolved.drug35,update,FALSE
uds,drugx,file.info.forms.resolved.drug36,update,FALSE
uds,drugx,file.info.forms.resolved.drug37,update,FALSE
uds,drugx,file.info.forms.resolved.drug38,update,FALSE
uds,drugx,file.info.forms.resolved.drug39,update,FALSE
uds,drugx,file.info.forms.resolved.drug40,update,FALSE
uds,newtreat,file.info.forms.resolved.newtreat,update,FALSE
uds,newadevent,file.info.forms.resolved.newadevent,update,FALSE
uds,targetab1,file.info.forms.resolved.targetab1,update,FALSE
uds,targettau1,file.info.forms.resolved.targettau1,update,FALSE
uds,targetinf1,file.info.forms.resolved.targetinf1,update,FALSE
uds,targetsyn1,file.info.forms.resolved.targetsyn1,update,FALSE
